SPA1 power,SPA1 bg fraction,SPA2 power,SPA2 bg fraction,SPA1 detuning,SPA2 detuning,v_forward,prob ini,prob inter,prob fin
0.0002,0.01,1e-6,0.0505,0.0,1800000.0000000002,184.0,0.028369517907784112,0.8975560733401546,0.00026469541686310964
0.0002,0.01,1e-6,0.0505,0.0,2000000.0,184.0,0.028369952771942476,0.8975547141603033,0.00018215407895103377
0.0002,0.01,1e-6,0.06040000000000001,0.0,-2000000.0,184.0,0.02828418152322679,0.8977844208319018,0.000026274039946251232
0.0002,0.01,1e-6,0.06040000000000001,0.0,-1800000.0,184.0,0.02792191467059843,0.8977809189741739,0.0003871859133896153
0.0002,0.01,1e-6,0.06040000000000001,0.0,-1600000.0,184.0,0.028108358567743796,0.8977709223929489,0.00018382416343134717
0.0002,0.01,1e-6,0.06040000000000001,0.0,-1400000.0,184.0,0.027972308842677828,0.8977977708479679,0.0003695979106594114
0.0002,0.01,1e-6,0.06040000000000001,0.0,-1200000.0,184.0,0.02820843623191543,0.8954272210471337,0.00013112461257802074
0.0002,0.01,1e-6,0.06040000000000001,0.0,-1000000.0,184.0,0.028179390379861287,0.8913000925266654,0.00019239176759521808
0.0002,0.01,1e-6,0.06040000000000001,0.0,-799999.9999999998,184.0,0.028365502907169278,0.8554131655848238,0.02645910416779792
0.0002,0.01,1e-6,0.06040000000000001,0.0,-599999.9999999999,184.0,0.028379125821191384,0.8129530088783717,0.05914447487162862
0.0002,0.01,1e-6,0.06040000000000001,0.0,-399999.9999999999,184.0,0.02840304820083938,0.7237865973338923,0.12433697634568382
0.0002,0.01,1e-6,0.06040000000000001,0.0,-199999.99999999994,184.0,0.028421212174892765,0.6602984502417444,0.1738968985943129
0.0002,0.01,1e-6,0.06040000000000001,0.0,0.0,184.0,0.028450730717875614,0.5669097108592064,0.3194743349642158
0.0002,0.01,1e-6,0.06040000000000001,0.0,200000.00000000017,184.0,0.028460950913327107,0.5656870617100485,0.3216643577435077
0.0002,0.01,1e-6,0.06040000000000001,0.0,400000.00000000035,184.0,0.028385690691859977,0.8838039493403086,0.012692151399409086
0.0002,0.01,1e-6,0.06040000000000001,0.0,600000.0000000001,184.0,0.02851516499040053,0.7358788097804051,0.144019815299317
0.0002,0.01,1e-6,0.06040000000000001,0.0,800000.0000000002,184.0,0.0283774044107802,0.8975143144686666,0.00036845604116298266
0.0002,0.01,1e-6,0.06040000000000001,0.0,1000000.0,184.0,0.02836794987832864,0.8973330635617869,0.00019734840856639683
0.0002,0.01,1e-6,0.06040000000000001,0.0,1200000.0000000002,184.0,0.028365748984611295,0.8975383244639279,0.00016980392563140754
0.0002,0.01,1e-6,0.06040000000000001,0.0,1400000.0000000005,184.0,0.028364942462592805,0.8974621239613715,0.00015372879063779666
0.0002,0.01,1e-6,0.06040000000000001,0.0,1600000.0,184.0,0.028366547356688726,0.8974911037686701,0.00019888788143797789
0.0002,0.01,1e-6,0.06040000000000001,0.0,1800000.0000000002,184.0,0.02836678427793788,0.8975712300895458,0.00027445951242575906
0.0002,0.01,1e-6,0.06040000000000001,0.0,2000000.0,184.0,0.028367228631082937,0.8975764615597389,0.00017552571463811734
0.0002,0.01,1e-6,0.0703,0.0,-2000000.0,184.0,0.02827051085971331,0.8977995350275475,0.000028996971307737682
0.0002,0.01,1e-6,0.0703,0.0,-1800000.0,184.0,0.027848104981812165,0.8977958128883226,0.00044971223006825444
0.0002,0.01,1e-6,0.0703,0.0,-1600000.0,184.0,0.028074861658662395,0.8977839679664315,0.00020425033247944106
0.0002,0.01,1e-6,0.0703,0.0,-1400000.0,184.0,0.0279167163868188,0.8978148780063511,0.0004188053745837561
0.0002,0.01,1e-6,0.0703,0.0,-1200000.0,184.0,0.0281900312472406,0.8952464587570019,0.0001433616598545092
0.0002,0.01,1e-6,0.0703,0.0,-1000000.0,184.0,0.028148081361576406,0.8908469751319579,0.00022188821255100967
0.0002,0.01,1e-6,0.0703,0.0,-799999.9999999998,184.0,0.028362637057292178,0.8527726264483784,0.028356949847144475
