stage,detuning_hz,intensity_prefactor,singlet,triplet_m,triplet_0,triplet_p
AP1,-2500000.0,2.1544346900318843,0.7690360525394196,0.7676097935005629,0.7677832686665533,0.7676079548684295
AP1,-2500000.0,4.216965034285822,0.9390833808588145,0.9364629485318646,0.9344964599840809,0.9364684422834578
AP1,-2500000.0,8.25404185268019,0.9865474972098119,0.9814000680040071,0.9792722266066127,0.9813921427687942
AP1,-2500000.0,16.155980984398745,0.9816714942747572,0.971525473808039,0.9677532863046313,0.9715227751379795
AP1,-2500000.0,31.622776601683793,0.9643039188324837,0.9449917881968963,0.9373852818714022,0.9450010706149713
AP1,-2150000.0,0.01,0.010082916038438736,0.010065666425953806,0.010039361835422653,0.010065680927816102
AP1,-2150000.0,0.019573417814876606,0.01964454454166138,0.0196155352535049,0.019544167914756605,0.019615563491664267
AP1,-2150000.0,0.03831186849557289,0.03809766736610775,0.03804763624660204,0.03788258281512346,0.03804769090579986
AP1,-2150000.0,0.07498942093324558,0.07322529387026322,0.07313714682159173,0.07278924485925437,0.0731372532973661
AP1,-2150000.0,0.14677992676220697,0.13832248868266894,0.13816509153908074,0.13748905481425672,0.13816530135539365
AP1,-2150000.0,0.28729848333536656,0.25279650355954764,0.25251648257737735,0.25132693161430325,0.25251691175711083
AP1,-2150000.0,0.5623413251903491,0.43461553947826737,0.4341351552038735,0.4323362874084772,0.43413606429633256
AP1,-2150000.0,1.1006941712522103,0.6720156428666862,0.6712564919437413,0.6692375712036297,0.6712581787439632
AP1,-2150000.0,2.1544346900318843,0.8858552067226555,0.8847912058463177,0.8838032562408508,0.8847915499234864
AP1,-2150000.0,4.216965034285822,0.9832810973384979,0.9816368662331102,0.9807068017851963,0.981633329248192
AP1,-2150000.0,8.25404185268019,0.9947353289623998,0.9919716528646406,0.9907053494078293,0.9919667104630924
AP1,-2150000.0,16.155980984398745,0.9901449796716489,0.9844472454802062,0.9824717343695873,0.9844504848628461
AP1,-2150000.0,31.622776601683793,0.9807003128973091,0.9702144338258293,0.9657068509759759,0.9702027789004083
AP1,-1800000.0,0.01,0.014397332775584904,0.014429632735396918,0.014308491635198964,0.014429641615697084
AP1,-1800000.0,0.019573417814876606,0.02797241754935604,0.0280114876167771,0.027845085721092434,0.028011506065682805
AP1,-1800000.0,0.03831186849557289,0.054000648011208,0.05404264519597155,0.05381673720051554,0.05404268283655124
AP1,-1800000.0,0.07498942093324558,0.10294756014065655,0.10298133322066291,0.10267791571620648,0.10298140772294145
AP1,-1800000.0,0.14677992676220697,0.19157192539888662,0.19157484325593768,0.1911652781340053,0.19157497964865083
AP1,-1800000.0,0.28729848333536656,0.34062456167128524,0.3405651476806528,0.33998593244564884,0.3405653539565672
AP1,-1800000.0,0.5623413251903491,0.5578999219248055,0.5577572587040719,0.5568717122789363,0.5577573694923684
AP1,-1800000.0,1.1006941712522103,0.7984890479826855,0.7982432201492897,0.7969897154900792,0.7982423539274746
AP1,-1800000.0,2.1544346900318843,0.9568222288889178,0.9562751972359632,0.955703111403349,0.9562729175000425
AP1,-1800000.0,4.216965034285822,0.996935051979424,0.9961358808574575,0.9959132544783009,0.9961387586548099
AP1,-1800000.0,8.25404185268019,0.9974541278066416,0.9959353280384216,0.9954596172497129,0.9959396771516041
